Id,name,season,price,product_category,size,quantity,quantities_sold,collection_family,sex,color,discount,size_type,sell_through
M-00028,Tribe Stripe Shirt,SS25,103.99,Shirt,XL,178,181,Tribe,Men,Snow White,0,alpha,0.504
\00019,Box Logo Print Shoes,SS25,97.99,Shoes,42,278,307,Box Logo,Men,Bright White,0,numeric,0.525
WS-00050,Geographic Graphic T-Shirt,FS24,60.99,T-Shirt,L,67,426,Geographic,Women,Black Beauty,40,alpha,0.864
V-00010,Box Logo Swimwear,SS25,50.99,Swimwear,S,215,14,Box Logo,Men,Khaki,0,alpha,0.061
BeanieTribe-0001,Tribe Beanie,SS25,48.99,Accessories,One Size,370,37,Tribe,Men,Olive,0,alpha,0.091
WN-00019,Rainforest Heritage Shorts,FS24,80.99,Shorts,L,69,111,Rainforest,Women,Burgundy,15,alpha,0.617
WPS-00020,Box Logo Logo Polo,FS24,76.99,Polo,XXL,40,67,Box Logo,Women,Khaki,15,alpha,0.626
WScarfRainforest-0001,Rainforest Scarf,FS24,73.99,Accessories,One Size,16,66,Rainforest,Women,Old Rose,40,alpha,0.805
V-00011,Wave Heritage Swimwear,SS25,50.99,Swimwear,XL,272,235,Wave,Men,Olive,0,alpha,0.464
S-00064,Circular Logo T-Shirt,FS24,37.99,T-Shirt,XXL,90,248,Circular,Men,White Whisper,20,alpha,0.734
\00020,Slate Half-Zip Shoes,SS25,126.99,Shoes,43,57,38,Slate,Men,Yellow Sunshine,0,numeric,0.4
\00021,Box Logo Half-Zip Shoes,SS25,188.99,Shoes,41,529,70,Box Logo,Men,Green Lichen,0,numeric,0.117
M-00030,Geographic Graphic Shirt,SS25,95.99,Shirt,L,224,147,Geographic,Men,Yellow Sunshine,0,alpha,0.396
\00022,Cresta Quilted Shoes,SS25,146.99,Shoes,45,373,38,Cresta,Men,Green Lichen,0,numeric,0.092
P-00046,Geographic Half-Zip Pants,FS24,131.99,Pants,S,74,119,Geographic,Men,Caviar,10,alpha,0.617
S-00065,Box Logo Quilted T-Shirt,FS24,52.99,T-Shirt,L,90,135,Box Logo,Men,Snow White,20,alpha,0.6
WS-00051,Morgex T-Shirt,FS24,68.99,T-Shirt,L,191,354,Morgex,Women,Black Beauty,20,alpha,0.65
L-00048,Circular Logo Sweatshirt,SS25,94.99,Sweatshirt,XL,487,113,Circular,Men,Yellow Sunshine,0,alpha,0.188
PS-00028,Geographic Stretch Polo,FS24,83.99,Polo,XS,30,387,Geographic,Men,Yellow Sunshine,40,alpha,0.928
V-00012,Box Logo Stretch Swimwear,FS24,61.99,Swimwear,XS,160,419,Box Logo,Men,Green Lichen,20,alpha,0.724
WS-00052,Box Logo Half-Zip T-Shirt,SS25,80.99,T-Shirt,L,246,88,Box Logo,Women,Blue Marine,0,alpha,0.263
WV-00010,Box Logo Heritage Swimwear,FS24,80.99,Swimwear,XL,82,490,Box Logo,Women,Olive,40,alpha,0.857
L-00049,Tribe Sweatshirt,SS25,109.99,Sweatshirt,XS,329,187,Tribe,Men,Navy,0,alpha,0.362
S-00066,Circular Print T-Shirt,SS25,56.99,T-Shirt,M,243,14,Circular,Men,Snow White,0,alpha,0.054
WS-00053,Iconic T-Shirt,FS24,83.99,T-Shirt,M,25,131,Iconic,Women,Navy,20,alpha,0.84
M-00031,Box Logo Quilted Shirt,SS25,127.99,Shirt,M,261,269,Box Logo,Men,Grey Melange,0,alpha,0.508
N-00028,Rainforest Heritage Shorts,FS24,70.99,Shorts,XL,28,435,Rainforest,Men,Bright White,40,alpha,0.94
S-00067,Patch Quilted T-Shirt,SS25,70.99,T-Shirt,S,209,170,Patch,Men,Petit Four,0,alpha,0.449
W\00017,Trail Quilted Shoes,SS25,137.99,Shoes,38,310,277,Trail,Women,Khaki,0,numeric,0.472
WL-00051,Iconic Sweatshirt,FS24,146.99,Sweatshirt,M,45,503,Iconic,Women,Navy,25,alpha,0.918
M-00032,Morgex Logo Shirt,FS24,88.99,Shirt,M,35,99,Morgex,Men,Beige Sand,15,alpha,0.739
S-00068,Geographic Print T-Shirt,FS24,89.99,T-Shirt,XXL,44,313,Geographic,Men,Beige Sand,40,alpha,0.877
S-00069,Geographic Print T-Shirt,SS25,58.99,T-Shirt,L,150,8,Geographic,Men,Beige Sand,0,alpha,0.051
GlovesIconic-0001,Iconic Gloves,FS24,32.99,Accessories,One Size,158,201,Iconic,Men,Old Rose,40,alpha,0.56
WL-00052,Geographic Print Sweatshirt,FS24,165.99,Sweatshirt,XL,52,92,Geographic,Women,Grey Melange,10,alpha,0.639
WM-00027,Geographic Graphic Shirt,SS25,93.99,Shirt,S,262,124,Geographic,Women,Navy,0,alpha,0.321
WS-00054,Box Logo T-Shirt,FS24,59.99,T-Shirt,L,95,401,Box Logo,Women,Blue Marine,10,alpha,0.808
PS-00029,Iconic Heritage Polo,SS25,108.99,Polo,XS,100,39,Iconic,Men,Yellow Sunshine,0,alpha,0.281
P-00048,Rainforest Half-Zip Pants,SS25,107.99,Pants,S,150,154,Rainforest,Men,Orange Tangerine,0,alpha,0.507
M-00033,Patch Shirt,FS24,144.99,Shirt,XS,99,300,Patch,Men,Old Rose,20,alpha,0.752
WV-00011,Wave Stripe Swimwear,SS25,50.99,Swimwear,XL,117,32,Wave,Women,Olive,0,alpha,0.215
M-00034,Circular Quilted Shirt,FS24,106.99,Shirt,S,17,102,Circular,Men,Snow White,25,alpha,0.857
P-00050,Iconic Pants,FS24,145.99,Pants,XS,17,338,Iconic,Men,Bright Red,20,alpha,0.952
WS-00055,Circular Logo T-Shirt,FS24,39.99,T-Shirt,XS,14,168,Circular,Women,Old Rose,25,alpha,0.923
\00024,Cresta Graphic Shoes,SS25,157.99,Shoes,43,282,157,Cresta,Men,Bright White,0,numeric,0.358
WPS-00021,Circular Stripe Polo,FS24,88.99,Polo,XXL,115,315,Circular,Women,Bright Red,25,alpha,0.733
WS-00056,Geographic Stripe T-Shirt,FS24,87.99,T-Shirt,M,65,132,Geographic,Women,Beige Sand,30,alpha,0.67
W\00018,Cresta Heritage Shoes,SS25,181.99,Shoes,37,225,262,Cresta,Women,Green Lichen,0,numeric,0.538
WS-00057,Circular Stripe T-Shirt,FS24,66.99,T-Shirt,L,144,356,Circular,Women,Yellow Sunshine,25,alpha,0.712
WPS-00022,Box Logo Print Polo,FS24,109.99,Polo,S,87,228,Box Logo,Women,Bright Red,30,alpha,0.724
WL-00054,Box Logo Heritage Sweatshirt,FS24,168.99,Sweatshirt,XS,47,74,Box Logo,Women,Bright Red,25,alpha,0.612
N-00031,Iconic Shorts,FS24,83.99,Shorts,M,135,385,Iconic,Men,Pale Mint,25,alpha,0.74
BeanieMorgex-0001,Morgex Beanie,FS24,92.99,Accessories,One Size,37,301,Morgex,Men,White Whisper,25,alpha,0.891
WP-00027,Iconic Pants,SS25,121.99,Pants,M,266,61,Iconic,Women,Bright White,0,alpha,0.187
PS-00030,Geographic Stretch Polo,SS25,92.99,Polo,XXL,179,40,Geographic,Men,Bright Red,0,alpha,0.183
P-00051,Box Logo Heritage Pants,SS25,108.99,Pants,S,261,201,Box Logo,Men,Old Rose,0,alpha,0.435
WPS-00023,Geographic Polo,FS24,71.99,Polo,M,54,157,Geographic,Women,Beige Sand,10,alpha,0.744
L-00051,Tribe Stripe Sweatshirt,FS24,161.99,Sweatshirt,S,17,35,Tribe,Men,Caviar,20,alpha,0.673
WN-00020,Patch Quilted Shorts,SS25,83.99,Shorts,XS,190,212,Patch,Women,Stone Grey,0,alpha,0.527
M-00035,Morgex Quilted Shirt,FS24,116.99,Shirt,XS,113,327,Morgex,Men,Old Rose,15,alpha,0.743
WP-00028,Tribe Print Pants,FS24,129.99,Pants,S,8,42,Tribe,Women,Stone Grey,25,alpha,0.84
WV-00012,Sun-Lover Stretch Swimwear,SS25,72.99,Swimwear,XXL,155,109,Sun-Lover,Women,Stone Grey,0,alpha,0.413
WP-00029,Geographic Heritage Pants,SS25,126.99,Pants,M,74,43,Geographic,Women,Blue Marine,0,alpha,0.368
WCapCircular-0001,Circular Cap,FS24,118.99,Accessories,One Size,40,283,Circular,Women,Pale Mint,15,alpha,0.876
WM-00028,Box Logo Logo Shirt,FS24,146.99,Shirt,XS,166,276,Box Logo,Women,Khaki,15,alpha,0.624
WL-00056,Rainforest Sweatshirt,FS24,94.99,Sweatshirt,XXL,148,291,Rainforest,Women,Black Beauty,15,alpha,0.663
P-00052,Box Logo Print Pants,FS24,97.99,Pants,L,122,149,Box Logo,Men,Stone Grey,20,alpha,0.55
WaistBagMorgex-0001,Morgex Waist Bag,SS25,99.99,Accessories,One Size,488,50,Morgex,Men,Caviar,0,alpha,0.093
P-00053,Geographic Heritage Pants,SS25,119.99,Pants,XS,402,36,Geographic,Men,White Whisper,0,alpha,0.082
WL-00057,Rainforest Stretch Sweatshirt,SS25,101.99,Sweatshirt,M,62,21,Rainforest,Women,Black Beauty,0,alpha,0.253
S-00070,Rainforest Logo T-Shirt,SS25,71.99,T-Shirt,XXL,105,8,Rainforest,Men,Pale Mint,0,alpha,0.071
S-00071,Rainforest Quilted T-Shirt,SS25,78.99,T-Shirt,S,163,10,Rainforest,Men,Olive,0,alpha,0.058
P-00054,Iconic Pants,SS25,97.99,Pants,XL,109,47,Iconic,Men,Yellow Sunshine,0,alpha,0.301
WN-00021,Tribe Stripe Shorts,FS24,92.99,Shorts,XXL,149,223,Tribe,Women,Snow White,30,alpha,0.599
M-00036,Box Logo Half-Zip Shirt,SS25,147.99,Shirt,XXL,83,47,Box Logo,Men,Olive,0,alpha,0.362
WN-00022,Box Logo Print Shorts,SS25,56.99,Shorts,S,88,49,Box Logo,Women,Petit Four,0,alpha,0.358
\00026,Trail Logo Shoes,SS25,95.99,Shoes,42,86,69,Trail,Men,Yellow Sunshine,0,numeric,0.445
WM-00029,Rainforest Print Shirt,SS25,90.99,Shirt,XXL,192,28,Rainforest,Women,White Whisper,0,alpha,0.127
S-00073,Iconic Logo T-Shirt,FS24,60.99,T-Shirt,M,132,241,Iconic,Men,Forest Green,25,alpha,0.646
WS-00059,Tribe Logo T-Shirt,SS25,91.99,T-Shirt,L,82,33,Tribe,Women,Snow White,0,alpha,0.287
L-00052,Geographic Heritage Sweatshirt,FS24,111.99,Sweatshirt,M,44,194,Geographic,Men,Beige Sand,15,alpha,0.815
WBucketHatGeographic-0001,Geographic Bucket Hat,SS25,54.99,Accessories,One Size,80,73,Geographic,Women,White Whisper,0,alpha,0.477
\00027,Trail Stripe Shoes,FS24,90.99,Shoes,42,101,191,Trail,Men,Bright Red,30,numeric,0.654
WM-00030,Geographic Shirt,SS25,89.99,Shirt,L,304,217,Geographic,Women,Bright Red,0,alpha,0.417
WL-00059,Circular Logo Sweatshirt,SS25,157.99,Sweatshirt,L,84,41,Circular,Women,Orange Tangerine,0,alpha,0.328
S-00074,Tribe T-Shirt,FS24,39.99,T-Shirt,XXL,90,441,Tribe,Men,Bright White,20,alpha,0.831
WP-00030,Iconic Graphic Pants,FS24,143.99,Pants,M,124,471,Iconic,Women,Caviar,25,alpha,0.792
S-00076,Patch Stretch T-Shirt,FS24,58.99,T-Shirt,XS,98,418,Patch,Men,White Whisper,40,alpha,0.81
L-00053,Tribe Quilted Sweatshirt,FS24,158.99,Sweatshirt,M,158,315,Tribe,Men,Forest Green,20,alpha,0.666
WS-00060,Rainforest Print T-Shirt,SS25,79.99,T-Shirt,L,293,292,Rainforest,Women,Stone Grey,0,alpha,0.499
WL-00060,Iconic Graphic Sweatshirt,FS24,116.99,Sweatshirt,L,48,70,Iconic,Women,Beige Sand,10,alpha,0.593
PS-00031,Rainforest Polo,SS25,104.99,Polo,XL,252,88,Rainforest,Men,Bright White,0,alpha,0.259
P-00057,Rainforest Graphic Pants,FS24,91.99,Pants,XXL,99,134,Rainforest,Men,Free Blue,20,alpha,0.575
W\00019,Slate Heritage Shoes,FS24,130.99,Shoes,42,56,526,Slate,Women,Snow White,25,numeric,0.904
WN-00023,Patch Print Shorts,FS24,59.99,Shorts,XL,124,208,Patch,Women,Navy,40,alpha,0.627
S-00077,Geographic Stretch T-Shirt,SS25,36.99,T-Shirt,XS,123,46,Geographic,Men,Grey Melange,0,alpha,0.272
WM-00032,Box Logo Heritage Shirt,FS24,131.99,Shirt,S,24,568,Box Logo,Women,Pale Mint,50,alpha,0.959
L-00054,Morgex Half-Zip Sweatshirt,FS24,112.99,Sweatshirt,XL,151,341,Morgex,Men,Orange Tangerine,50,alpha,0.693
W\00020,Box Logo Stripe Shoes,FS24,182.99,Shoes,42,182,282,Box Logo,Women,Snow White,20,numeric,0.608
WL-00063,Tribe Sweatshirt,FS24,136.99,Sweatshirt,XL,175,249,Tribe,Women,Navy,50,alpha,0.587
L-00056,Morgex Logo Sweatshirt,FS24,153.99,Sweatshirt,XXL,8,59,Morgex,Men,Bright Red,20,alpha,0.881
WS-00062,Rainforest Quilted T-Shirt,FS24,92.99,T-Shirt,L,127,163,Rainforest,Women,Blue Marine,20,alpha,0.562
N-00033,Iconic Graphic Shorts,FS24,76.99,Shorts,XL,22,505,Iconic,Men,Olive,25,alpha,0.958
WV-00013,Box Logo Half-Zip Swimwear,SS25,54.99,Swimwear,M,87,12,Box Logo,Women,Bright Red,0,alpha,0.121
L-00057,Patch Stripe Sweatshirt,SS25,140.99,Sweatshirt,M,374,30,Patch,Men,Grey Melange,0,alpha,0.074
P-00058,Morgex Stripe Pants,SS25,99.99,Pants,S,140,14,Morgex,Men,Bright White,0,alpha,0.091
N-00034,Box Logo Print Shorts,SS25,91.99,Shorts,XS,72,28,Box Logo,Men,Beige Sand,0,alpha,0.28
W\00021,Slate Shoes,SS25,101.99,Shoes,42,164,86,Slate,Women,Pale Mint,0,numeric,0.344
S-00080,Box Logo Graphic T-Shirt,SS25,94.99,T-Shirt,XXL,306,90,Box Logo,Men,Green Lichen,0,alpha,0.227
\00029,Trail Half-Zip Shoes,SS25,193.99,Shoes,40,37,17,Trail,Men,Stone Grey,0,numeric,0.315
P-00059,Geographic Logo Pants,SS25,101.99,Pants,XXL,292,264,Geographic,Men,Petit Four,0,alpha,0.475
L-00058,Geographic Stripe Sweatshirt,SS25,139.99,Sweatshirt,S,400,74,Geographic,Men,Yellow Sunshine,0,alpha,0.156
WPS-00026,Patch Stretch Polo,FS24,95.99,Polo,S,72,263,Patch,Women,Blue Marine,10,alpha,0.785
WS-00063,Iconic Quilted T-Shirt,FS24,53.99,T-Shirt,XXL,175,319,Iconic,Women,Caviar,20,alpha,0.646
WL-00064,Rainforest Stripe Sweatshirt,SS25,112.99,Sweatshirt,XS,271,179,Rainforest,Women,Stone Grey,0,alpha,0.398
V-00013,Wave Stretch Swimwear,FS24,69.99,Swimwear,XXL,90,437,Wave,Men,Bright Red,30,alpha,0.829
SocksMorgex-0001,Morgex Socks,FS24,51.99,Accessories,L,77,100,Morgex,Men,Bright White,10,alpha,0.565
N-00035,Rainforest Half-Zip Shorts,SS25,73.99,Shorts,S,327,47,Rainforest,Men,Pale Mint,0,alpha,0.126
WP-00032,Iconic Quilted Pants,FS24,126.99,Pants,S,134,415,Iconic,Women,Pale Mint,30,alpha,0.756
M-00039,Rainforest Shirt,FS24,148.99,Shirt,S,149,291,Rainforest,Men,Pale Mint,20,alpha,0.661
WL-00066,Patch Sweatshirt,FS24,99.99,Sweatshirt,XL,126,289,Patch,Women,Navy,10,alpha,0.696
WN-00024,Patch Stretch Shorts,SS25,71.99,Shorts,L,357,104,Patch,Women,Caviar,0,alpha,0.226
WP-00033,Morgex Graphic Pants,SS25,97.99,Pants,XXL,123,34,Morgex,Women,Bright Red,0,alpha,0.217
WS-00064,Rainforest T-Shirt,FS24,51.99,T-Shirt,L,106,414,Rainforest,Women,Pale Mint,25,alpha,0.796
L-00059,Patch Heritage Sweatshirt,FS24,119.99,Sweatshirt,L,11,106,Patch,Men,Grey Melange,20,alpha,0.906
PS-00034,Rainforest Quilted Polo,SS25,68.99,Polo,M,243,106,Rainforest,Men,Snow White,0,alpha,0.304
PS-00035,Patch Heritage Polo,FS24,96.99,Polo,XL,224,376,Patch,Men,Beige Sand,20,alpha,0.627
L-00060,Circular Stretch Sweatshirt,SS25,119.99,Sweatshirt,XL,449,64,Circular,Men,Bright Red,0,alpha,0.125
WPS-00028,Tribe Logo Polo,SS25,73.99,Polo,XS,56,12,Tribe,Women,Caviar,0,alpha,0.176
V-00014,Box Logo Swimwear,FS24,56.99,Swimwear,XS,125,194,Box Logo,Men,Snow White,25,alpha,0.608
PS-00036,Geographic Polo,SS25,95.99,Polo,XXL,50,46,Geographic,Men,Burgundy,0,alpha,0.479
WM-00033,Box Logo Print Shirt,FS24,124.99,Shirt,XS,119,354,Box Logo,Women,Orange Tangerine,25,alpha,0.748
WPS-00029,Geographic Quilted Polo,FS24,65.99,Polo,M,7,68,Geographic,Women,Free Blue,25,alpha,0.907
P-00060,Tribe Quilted Pants,FS24,135.99,Pants,XXL,37,127,Tribe,Men,Khaki,20,alpha,0.774
P-00061,Circular Stripe Pants,FS24,149.99,Pants,L,57,323,Circular,Men,White Whisper,30,alpha,0.85
\00030,Trail Half-Zip Shoes,SS25,142.99,Shoes,42,349,251,Trail,Men,Khaki,0,numeric,0.418
WL-00069,Box Logo Quilted Sweatshirt,SS25,150.99,Sweatshirt,XXL,170,9,Box Logo,Women,Burgundy,0,alpha,0.05
WS-00065,Iconic Quilted T-Shirt,SS25,67.99,T-Shirt,S,91,82,Iconic,Women,Blue Marine,0,alpha,0.474
WS-00066,Geographic T-Shirt,FS24,48.99,T-Shirt,XL,4,59,Geographic,Women,Caviar,40,alpha,0.937
WL-00070,Tribe Sweatshirt,FS24,142.99,Sweatshirt,L,43,438,Tribe,Women,Beige Sand,20,alpha,0.911
P-00064,Morgex Stripe Pants,SS25,112.99,Pants,L,177,12,Morgex,Men,Pale Mint,0,alpha,0.063
WSocksRainforest-0001,Rainforest Socks,FS24,101.99,Accessories,M,15,161,Rainforest,Women,Forest Green,25,alpha,0.915
WCapTribe-0001,Tribe Cap,FS24,51.99,Accessories,One Size,30,107,Tribe,Women,Caviar,30,alpha,0.781
S-00084,Rainforest Print T-Shirt,SS25,50.99,T-Shirt,XS,343,87,Rainforest,Men,Free Blue,0,alpha,0.202
WM-00034,Box Logo Print Shirt,SS25,105.99,Shirt,M,264,280,Box Logo,Women,Bright Red,0,alpha,0.515
W\00022,Slate Shoes,FS24,129.99,Shoes,36,41,129,Slate,Women,Stone Grey,15,numeric,0.759
WM-00035,Rainforest Logo Shirt,FS24,90.99,Shirt,S,99,128,Rainforest,Women,Bright White,10,alpha,0.564
PS-00037,Circular Print Polo,FS24,109.99,Polo,M,138,398,Circular,Men,Blue Marine,10,alpha,0.743
S-00085,Geographic T-Shirt,FS24,45.99,T-Shirt,M,59,501,Geographic,Men,Blue Marine,10,alpha,0.895
PS-00038,Iconic Quilted Polo,SS25,107.99,Polo,M,123,41,Iconic,Men,Old Rose,0,alpha,0.25
N-00037,Geographic Stretch Shorts,SS25,67.99,Shorts,XXL,55,41,Geographic,Men,Beige Sand,0,alpha,0.427
L-00063,Iconic Sweatshirt,FS24,105.99,Sweatshirt,L,97,156,Iconic,Men,Caviar,15,alpha,0.617
WN-00025,Geographic Quilted Shorts,FS24,68.99,Shorts,L,52,122,Geographic,Women,Blue Marine,20,alpha,0.701
WM-00036,Geographic Heritage Shirt,FS24,127.99,Shirt,XL,48,221,Geographic,Women,Snow White,10,alpha,0.822
WPS-00031,Circular Polo,SS25,68.99,Polo,XL,506,59,Circular,Women,Navy,0,alpha,0.104
PS-00039,Geographic Graphic Polo,SS25,102.99,Polo,XS,108,40,Geographic,Men,Beige Sand,0,alpha,0.27
P-00066,Tribe Stripe Pants,FS24,149.99,Pants,S,25,37,Tribe,Men,Green Lichen,30,alpha,0.597
\00031,Box Logo Logo Shoes,FS24,163.99,Shoes,43,80,166,Box Logo,Men,Orange Tangerine,10,numeric,0.675
WV-00014,Wave Stripe Swimwear,SS25,71.99,Swimwear,XXL,318,229,Wave,Women,Black Beauty,0,alpha,0.419
WS-00070,Patch Quilted T-Shirt,SS25,91.99,T-Shirt,M,236,231,Patch,Women,Petit Four,0,alpha,0.495
S-00086,Patch Logo T-Shirt,FS24,80.99,T-Shirt,M,159,361,Patch,Men,Yellow Sunshine,10,alpha,0.694
WPS-00032,Patch Stripe Polo,FS24,109.99,Polo,M,47,419,Patch,Women,Olive,15,alpha,0.899
P-00067,Rainforest Quilted Pants,SS25,100.99,Pants,M,473,61,Rainforest,Men,Grey Melange,0,alpha,0.114
S-00087,Iconic T-Shirt,FS24,69.99,T-Shirt,S,17,41,Iconic,Men,Snow White,20,alpha,0.707
PS-00040,Geographic Stripe Polo,SS25,85.99,Polo,XS,100,56,Geographic,Men,Stone Grey,0,alpha,0.359
WS-00071,Morgex T-Shirt,FS24,51.99,T-Shirt,XL,111,456,Morgex,Women,Old Rose,30,alpha,0.804
WS-00072,Rainforest Half-Zip T-Shirt,SS25,84.99,T-Shirt,XS,78,66,Rainforest,Women,Yellow Sunshine,0,alpha,0.458
WS-00073,Iconic Heritage T-Shirt,FS24,79.99,T-Shirt,M,134,424,Iconic,Women,Beige Sand,15,alpha,0.76
W\00023,Slate Logo Shoes,SS25,197.99,Shoes,36,227,262,Slate,Women,Old Rose,0,numeric,0.536
WN-00026,Rainforest Stretch Shorts,FS24,66.99,Shorts,XS,139,325,Rainforest,Women,Old Rose,20,alpha,0.7
L-00065,Box Logo Sweatshirt,SS25,160.99,Sweatshirt,XS,98,28,Box Logo,Men,Yellow Sunshine,0,alpha,0.222
M-00040,Circular Half-Zip Shirt,FS24,103.99,Shirt,XXL,4,95,Circular,Men,White Whisper,30,alpha,0.96
WS-00074,Geographic Half-Zip T-Shirt,FS24,73.99,T-Shirt,XL,77,415,Geographic,Women,Caviar,25,alpha,0.843
\00032,Box Logo Stripe Shoes,FS24,131.99,Shoes,44,39,130,Box Logo,Men,Beige Sand,10,numeric,0.769
WL-00071,Morgex Sweatshirt,FS24,96.99,Sweatshirt,S,119,473,Morgex,Women,Stone Grey,30,alpha,0.799
PS-00041,Circular Stretch Polo,SS25,67.99,Polo,XXL,194,111,Circular,Men,Stone Grey,0,alpha,0.364
WL-00072,Patch Sweatshirt,SS25,152.99,Sweatshirt,M,113,77,Patch,Women,Stone Grey,0,alpha,0.405
WV-00015,Sun-Lover Heritage Swimwear,SS25,57.99,Swimwear,L,91,28,Sun-Lover,Women,Snow White,0,alpha,0.235
L-00066,Circular Stripe Sweatshirt,FS24,156.99,Sweatshirt,L,80,126,Circular,Men,Khaki,25,alpha,0.612
S-00089,Iconic Graphic T-Shirt,FS24,70.99,T-Shirt,M,19,62,Iconic,Men,Olive,10,alpha,0.765
WS-00075,Patch Half-Zip T-Shirt,FS24,43.99,T-Shirt,S,202,269,Patch,Women,Navy,20,alpha,0.571
\00033,Trail Shoes,FS24,133.99,Shoes,44,23,62,Trail,Men,Grey Melange,10,numeric,0.729
N-00038,Geographic Half-Zip Shorts,SS25,91.99,Shorts,XL,347,112,Geographic,Men,Old Rose,0,alpha,0.244
W\00024,Cresta Shoes,FS24,100.99,Shoes,41,14,51,Cresta,Women,Pale Mint,30,numeric,0.785
N-00039,Iconic Print Shorts,SS25,88.99,Shorts,S,44,50,Iconic,Men,Burgundy,0,alpha,0.532
V-00017,Sun-Lover Swimwear,FS24,75.99,Swimwear,XS,103,285,Sun-Lover,Men,Petit Four,20,alpha,0.735
M-00041,Patch Graphic Shirt,FS24,105.99,Shirt,XS,70,117,Patch,Men,Caviar,10,alpha,0.626
WN-00027,Circular Stretch Shorts,SS25,88.99,Shorts,XS,211,14,Circular,Women,Pale Mint,0,alpha,0.062
WS-00076,Patch T-Shirt,FS24,58.99,T-Shirt,M,34,59,Patch,Women,Bright White,40,alpha,0.634
N-00040,Rainforest Stretch Shorts,FS24,52.99,Shorts,M,112,403,Rainforest,Men,Stone Grey,40,alpha,0.783
WS-00077,Tribe T-Shirt,FS24,77.99,T-Shirt,XL,38,254,Tribe,Women,Black Beauty,25,alpha,0.87
WP-00036,Circular Logo Pants,SS25,153.99,Pants,XXL,141,44,Circular,Women,Yellow Sunshine,0,alpha,0.238
S-00090,Patch Graphic T-Shirt,FS24,62.99,T-Shirt,XXL,50,241,Patch,Men,Pale Mint,25,alpha,0.828
WM-00039,Patch Half-Zip Shirt,SS25,84.99,Shirt,XXL,500,27,Patch,Women,Black Beauty,0,alpha,0.051
V-00018,Box Logo Stretch Swimwear,FS24,82.99,Swimwear,L,164,272,Box Logo,Men,Blue Marine,50,alpha,0.624
N-00041,Box Logo Shorts,FS24,77.99,Shorts,S,37,229,Box Logo,Men,Blue Marine,20,alpha,0.861
N-00042,Patch Graphic Shorts,SS25,89.99,Shorts,XL,222,44,Patch,Men,Beige Sand,0,alpha,0.165
WL-00074,Morgex Quilted Sweatshirt,SS25,119.99,Sweatshirt,XS,398,47,Morgex,Women,Orange Tangerine,0,alpha,0.106
PS-00042,Geographic Quilted Polo,SS25,100.99,Polo,XXL,201,18,Geographic,Men,Petit Four,0,alpha,0.082
S-00091,Morgex Quilted T-Shirt,FS24,75.99,T-Shirt,L,8,85,Morgex,Men,Pale Mint,10,alpha,0.914
M-00042,Circular Heritage Shirt,SS25,143.99,Shirt,XXL,283,127,Circular,Men,Khaki,0,alpha,0.31
WP-00037,Rainforest Graphic Pants,SS25,131.99,Pants,XL,263,30,Rainforest,Women,Snow White,0,alpha,0.102
WPS-00033,Box Logo Half-Zip Polo,SS25,102.99,Polo,XS,278,211,Box Logo,Women,Old Rose,0,alpha,0.431
WV-00016,Box Logo Print Swimwear,FS24,47.99,Swimwear,XXL,30,63,Box Logo,Women,Burgundy,10,alpha,0.677
WP-00038,Box Logo Pants,FS24,102.99,Pants,XS,22,87,Box Logo,Women,Yellow Sunshine,25,alpha,0.798
WN-00028,Morgex Graphic Shorts,FS24,71.99,Shorts,XXL,74,520,Morgex,Women,Bright Red,20,alpha,0.875
WS-00081,Patch Quilted T-Shirt,FS24,71.99,T-Shirt,XL,80,108,Patch,Women,Navy,50,alpha,0.574
L-00069,Box Logo Sweatshirt,FS24,119.99,Sweatshirt,S,144,245,Box Logo,Men,Snow White,15,alpha,0.63
L-00070,Rainforest Half-Zip Sweatshirt,FS24,136.99,Sweatshirt,XL,95,251,Rainforest,Men,Olive,30,alpha,0.725
S-00093,Box Logo Logo T-Shirt,SS25,74.99,T-Shirt,XS,197,78,Box Logo,Men,Orange Tangerine,0,alpha,0.284
S-00094,Patch T-Shirt,SS25,45.99,T-Shirt,L,388,23,Patch,Men,Caviar,0,alpha,0.056
WPS-00034,Morgex Logo Polo,FS24,75.99,Polo,S,23,39,Morgex,Women,Grey Melange,30,alpha,0.629
WPS-00035,Geographic Graphic Polo,SS25,77.99,Polo,M,421,86,Geographic,Women,Caviar,0,alpha,0.17
WPS-00036,Tribe Heritage Polo,FS24,101.99,Polo,XL,37,217,Tribe,Women,White Whisper,30,alpha,0.854
N-00043,Iconic Stretch Shorts,FS24,81.99,Shorts,XXL,128,422,Iconic,Men,Grey Melange,30,alpha,0.767
S-00095,Rainforest Half-Zip T-Shirt,FS24,74.99,T-Shirt,L,28,49,Rainforest,Men,Orange Tangerine,15,alpha,0.636
M-00044,Geographic Half-Zip Shirt,FS24,113.99,Shirt,M,21,61,Geographic,Men,Green Lichen,20,alpha,0.744
WP-00039,Rainforest Graphic Pants,FS24,129.99,Pants,L,189,242,Rainforest,Women,Snow White,20,alpha,0.561
WL-00075,Iconic Print Sweatshirt,SS25,158.99,Sweatshirt,M,376,223,Iconic,Women,Free Blue,0,alpha,0.372
N-00044,Iconic Print Shorts,SS25,51.99,Shorts,M,192,53,Iconic,Men,Blue Marine,0,alpha,0.216
